ID;Ano;DOI;Study;Localização;Experimental;Controle;Classe  de Solo WRB/USDA ;Classe de solo SiBSC;Profundidade (cm);Variavel;m_e;sd_e;n_e;m_c;sd_c;n_c;ln;Unidade;Objetivo Resumido;Observações importantes
73;2023;10.36783/18069657rbcs20220126;Cavalcante et al.;Brasil;No-Tillage;Conventional Tillage;Oxisols;Latossolo Vermelho-Amarelo Distrófico Típico;0-20;Soil Organic Carbon (SOC);19,54;0,12;3;65,36;0,12;3;-1,21;g/kg⁻¹;Avaliar o impacto de estratégias de reabilitação com diferentes adubações e coberturas vegetais sobre indicadores de qualidade do solo em área minerada de bauxita.;"TOC do solo superficial (0-20 cm); média do tratamento OF+CF com Brachiaria versus área de vegetação nativa (NV); delineamento em blocos casualizados com quatro repetições."
73;2023;10.36783/18069657rbcs20220126;Cavalcante et al.;Brasil;Cultivo de cafí© com Brachiaria  + adubaçãoo OF+CF;Natural Vegetation (NV);Oxisols;Latossolo Vermelho-Amarelo Distrófico Típico;0-20;Soil pH;6,59;0,12;3;5,1;0,12;–;0,26;01:02,5;Avaliar o impacto de estratégias de reabilitação de solo sobre a acidez em áreas mineradas de bauxita.;pH médio do solo com Brachiaria + OF+CF comparado à vegetação nativa.
74;2019;10.1371/journal.pone.0219253;Kong et al.;China;Cultivo de cafí© com Brachiaria  + adubaçãoo OF+CF;Natural Vegetation (NV);Silt clay loam (Lou soil);Argissolo;0-100;Soil Organic Carbon (SOC);6,9;0,08;4;6,57;0,12;4;0,05;g/kg⁻¹;Investigar os efeitos da rotação de culturas e da retenção de palha sobre a respiração do solo e o sequestro de carbono.;"SOC médio no perfil de 0–100 cm após 4 anos de experimento; extraído para comparar máxima e mínima retenção de palha sob mesma rotação (WM)."
75;2022;10.3390/plants11050614;Steponavičienė et al.;Lituânia;Winter wheat  + Summer maize (WM)  + Total Straw Retention (TS);Winter wheat  + Summer maize (WM)  + No Straw (NS);Endocalcaric Stagnosol;Planossolo;0-25;Soil Organic Carbon (SOC);16,6;0,08;4;16,6;0,12;4;0;g/kg⁻¹;Analisar os efeitos de sistemas de preparo do solo e manejo da palha sobre propriedades físicas e emissão de CO₂.;"Valor médio informado na Tabela 3; sem variação significativa entre os tratamentos após 20 anos de experimento de longo prazo."
76;2022;10.3390/agronomy12040784;Lian et al.;China;No-Tillage  + Straw (NT+S);Conventional Ploughing  + No Straw (CP+R);Mollisol;Chernozembico;0-10;Soil Organic Carbon (SOC);14,83;0,08;3;11,6;0,35;3;0,25;g/kg⁻¹;Avaliar o efeito de diferentes modos de retorno de palha na fração de carbono orgânico e húmico em agregados de solos agrícolas.;Dados extraídos da Figura 2A para a profundidade de 0–10 cm após 5 anos de experimento com milho (2015–2019).
76;2022;10.3390/agronomy12040784;Lian et al.;China;Rotary tillage with straw strip return (RSS);Plow tillage with straw return (PTS);Mollisol;Chernozembico;0-10;Total Nitrogen (TN);1,39;0,08;3;1,22;0,05;3;0,13;g kg⁻¹;Avaliar o teor de nitrogênio total no solo sob diferentes modos de manejo da palha.;Estimativas da Figura 2B com base em barras de erro.
76;2022;10.3390/agronomy12040784;Lian et al.;China;RSS;PTS;Mollisol;Chernozembico;0-10;Available Potassium (AK);210,08;0,08;3;183,48;0,12;3;0,14;mg kg⁻¹;Investigar os efeitos do retorno de palha em faixa sobre os nutrientes disponíveis no solo.;"Valores da Tabela 1; desvio padrão não informado."
76;2022;10.3390/agronomy12040784;Lian et al.;China;RSS;PTS;Mollisol;Chernozembico;0-10;Available Total Phosphorus (ATP);21,62;0,08;3;17,52;0,14;3;0,21;mg kg⁻¹;Verificar a disponibilidade de fósforo sob diferentes sistemas de manejo da palha.;"Valores da Tabela 1; desvio padrão não informado."
76;2022;10.3390/agronomy12040784;Lian et al.;China;RSS;PTS;Mollisol;Chernozembico;0-10;Soil pH;4,84;0,08;3;5,13;0,12;3;-0,06;–;Comparar o efeito do retorno de palha em faixa na acidez do solo.;"Valores da Tabela 1; desvio padrão não informado."
77;2024;10.3390/su162411140;Długosz et al.;Polônia;RSS;PTS;Haplic Luvisol;Luvissolo;0–30;Soil Organic Carbon (SOC);7,8;0,08;4;9,17;0,77;4;-0,16;g/kg⁻¹;Avaliar o efeito de diferentes sistemas de preparo do solo na biomassa microbiana e atividade enzimática em solo cultivado com soja.;"Médias e erros padrão extraídos da Tabela 1; variação interanual entre 2017 e 2018."
77;2024;10.3390/su162411140;Długosz et al.;Polônia;Minimum Tillage (MT);Conventional Tillage (CT);Haplic Luvisol;Luvissolo;0–30;Total Nitrogen (TN);0,96;0,08;4;1,05;0,11;4;-0,09;%;Avaliar o impacto do sistema de cultivo sobre o teor de nitrogênio total do solo.;Dados médios da Tabela 1 para os anos de 2017 e 2018.
77;2024;10.3390/su162411140;Długosz et al.;Polônia;Minimum Tillage (MT);Conventional Tillage (CT);Haplic Luvisol;Luvissolo;0–30;Soil pH;5,56;0,08;4;5,82;0,24;4;-0,05;–;Comparar a acidez do solo entre os sistemas de preparo.;"pH em KCl de acordo com a Tabela 1; sem diferença significativa entre tratamentos."
78;2020;10.13080/z-a.2020.107.037;Slepetiene et al.;Lituânia;Minimum Tillage (MT);Conventional Tillage (CT);Eutric Endocalcaric Endostagnic Cambisol;Planossolo;0–30;Soil Organic Carbon (SOC);18,5;0,08;3;17,3;0,22;3;0,07;t ha⁻¹ ano⁻¹;Avaliar o efeito do sistema de preparo e manejo de palha sobre o carbono orgânico e nutrientes em solos morênicos.;Dados médios da Tabela 1, condição sem fertilizante, palha removida.
78;2020;10.13080/z-a.2020.107.037;Slepetiene et al.;Lituânia;No-Tillage;Conventional Tillage;Eutric Endocalcaric Endostagnic Cambisol;Planossolo;0–30;Total Nitrogen (TN);1,77;0,08;3;1,83;–;3;-0,03;t ha⁻¹;Dados médios da Tabela 1.;Nível de nitrogênio total em camada arável sob diferentes manejos sem palha e sem fertilizante.
78;2020;10.13080/z-a.2020.107.037;Slepetiene et al.;Lituânia;No-Tillage;Conventional Tillage;Eutric Endocalcaric Endostagnic Cambisol;Planossolo;0–30;Available Total Phosphorus (ATP);580;0,08;3;476;0,14;3;0,2;kg ha⁻¹;Efeito do preparo do solo e fertilidade sobre P disponível.;Tabela 1, NT superior em P disponível no cenário sem fertilizante.
78;2020;10.13080/z-a.2020.107.037;Slepetiene et al.;Lituânia;No-Tillage;Conventional Tillage;Eutric Endocalcaric Endostagnic Cambisol;Planossolo;0–30;Available Potassium (AK);306;0,08;3;297;0,12;3;0,03;kg ha⁻¹;Idem.;Níveis de K disponíveis com e sem preparo do solo.
78;2020;10.13080/z-a.2020.107.037;Slepetiene et al.;Lituânia;No-Tillage;Conventional Tillage;Eutric Endocalcaric Endostagnic Cambisol;Planossolo;0–30;Soil pH;7,24;0,08;3;7,08;0,12;3;0,02;(1:2,5 KCl);Avaliar alterações na acidez do solo em sistemas contrastantes.;"Diferenças pouco significativas; pH levemente superior sob NT."
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage;Conventional Tillage;Cambisol;Argissolo Háplico;0–10;Soil Organic Carbon (SOC);14,41;0,08;3;14,11;0,12;3;0,02;g/kg⁻¹;Analisar a distribuição do carbono orgânico humificado em diferentes sistemas de preparo do solo em Argissolo.;"Médias da Tabela 1; diferença não significativa na camada 0–10 cm."
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;10–20;Soil Organic Carbon (SOC);11,65;0,08;3;13,58;0,12;3;-0,15;g/kg⁻¹;Comparar a distribuição de SOC em profundidade.;Menor SOC sob NT+WM em camada intermediária.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;20–30;Soil Organic Carbon (SOC);7,94;0,08;3;9,94;0,12;3;-0,22;g/kg⁻¹;Distribuição de SOC em camadas profundas.;Redução maior de SOC com NT+WM em profundidade.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;0–10;Total Nitrogen (TN);1477;0,08;3;1466;–;3;0,01;g kg⁻¹;Efeito do plantio direto sobre o nitrogênio total.;Diferença não significativa na camada superficial.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;10–20;Total Nitrogen (TN);1217;0,08;3;1423;–;3;-0,16;g kg⁻¹;Comportamento do nitrogênio com profundidade.;NT+WM apresenta menor TN a partir de 10 cm.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;20–30;Total Nitrogen (TN);0,93;0,08;3;1070;–;3;-7,05;g kg⁻¹;Dados profundos de N total.;Tendência de menor N sob NT+WM em profundidade.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;0–10;Soil pH;6,22;0,08;3;6,07;0,12;3;0,02;1:2,5 KCl;Verificar efeito da cobertura morta no pH do solo.;NT+WM apresentou pH ligeiramente superior à aração profunda.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;10–20;Soil pH;6,34;0,08;3;6,27;0,12;3;0,01;1:2,5 KCl;Medição da acidez em profundidade.;NT+WM manteve pH estável em relação ao DP.
79;2021;10.13080/z-a.2021.108.002;Liaudanskiene et al.;Lituânia;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Cambisol;Argissolo Háplico;20–30;Soil pH;6,59;0,08;3;6,32;0,12;3;0,04;1:2,5 KCl;Efeito do plantio direto sobre o pH em profundidade.;NT+WM apresentou pH mais elevado na camada mais profunda.
81;2023;10.3390/agronomy13071769;Liu et al.;China;No-Tillage  + Winter Mulch (NT+WM);Deep Ploughing (DP);Calcarid Regosol;Ultissolo;0–15;Total Nitrogen (TN);1,05;0,08;3;0,85;0,05;3;0,21;g kg⁻¹;Analisar o impacto de diferentes rotações de culturas nos genes funcionais do ciclo do nitrogênio e nas frações de N do solo no Planalto de Loess.;"Valor médio e desvio padrão estimados da Figura 1A; diferença significativa (p < 0.05) entre os tratamentos."
82;2023;10.3390/agriculture13020508;Chen et al.;China;Cornâ€“Wheatâ€“Wheatâ€“Millet (CWWM);Wheat monoculture (W);Chernozem;Neossolo;0–20;Soil Organic Carbon (SOC);15,27;0,08;3;13,28;0,12;3;0,14;g/kg⁻¹;Analisar os efeitos da semeadura direta com cobertura de palha sobre o carbono do solo em cultivo contínuo de milho.;Valores de SOC após 5 anos extraídos da Figura 8A.
82;2023;10.3390/agriculture13020508;Chen et al.;China;No-Tillage  + Straw Mulching (CN);Rotary Tillage without Straw (CK);Chernozem;Neossolo;0–20;Total Nitrogen (TN);1,23;0,08;3;1,07;–;3;0,14;g kg⁻¹;Analisar o impacto do plantio direto na dinâmica do nitrogênio total no solo.;"Médias da Figura 8B; CN teve TN 14.6% superior."
83;2020;10.17221/176/2018-SWR;Mtyobile et al.;África do Sul;No-Tillage  + Straw Mulching (CN);Rotary Tillage without Straw (CK);Haplic Cambisol;Inceptossolo;0–5;Soil Organic Carbon (SOC);1,36;0,08;3;1,17;0,14;3;0,15;(%);Comparar o carbono orgânico do solo em diferentes profundidades sob plantio direto e preparo convencional.;"Valores médios extraídos da Tabela 4; NT significativamente superior ao CT (p < 0.05)."
83;2020;10.17221/176/2018-SWR;Mtyobile et al.;África do Sul;No-Tillage;Conventional Tillage;Haplic Cambisol;Inceptossolo;5–10;Soil Organic Carbon (SOC);1,25;0,08;3;1,06;0,14;3;0,16;(%);Idem acima.;Diferença significativa entre os sistemas em profundidade média.
83;2020;10.17221/176/2018-SWR;Mtyobile et al.;África do Sul;No-Tillage;Conventional Tillage;Haplic Cambisol;Inceptossolo;10–20;Soil Organic Carbon (SOC);1,28;0,08;3;1,09;0,14;3;0,16;(%);Idem.;NT apresentou maiores teores de SOC em todas as camadas analisadas.
84;2024;10.3390/land13050625;Calistru et al.;Romênia;No-Tillage;Conventional Tillage;Chernozem;Latossolo;0–10;Soil Organic Carbon (SOC);2,49;0,12;3;2,12;0,14;3;0,16;(%);Avaliar o impacto de diferentes práticas de preparo do solo e manejo de palha sobre o carbono orgânico do solo.;MT aumentou o teor de SOC em 17.5% em comparação ao CT na camada 0–10 cm.
84;2024;10.3390/land13050625;Calistru et al.;Romênia;Minimum Tillage (MT);Conventional Tillage (CT);Chernozem;Latossolo;0–10;Total Nitrogen (TN);0,19;0,01;3;0,15;0,02;3;0,19;%;Avaliar os efeitos do manejo conservacionista sobre o nitrogênio total.;MT aumentou o TN em 21.7% na camada superficial.
84;2024;10.3390/land13050625;Calistru et al.;Romênia;Minimum Tillage (MT);Conventional Tillage (CT);Chernozem;Latossolo;0–10;Available Potassium (AK);214;0,12;3;190;0,12;3;0,12;ppm;Comparar o efeito dos sistemas de manejo sobre o potássio disponível no solo.;"MT elevou os teores de K disponível em relação ao CT; valores estimados da Figura 6."
84;2024;10.3390/land13050625;Calistru et al.;Romênia;Minimum Tillage (MT);Conventional Tillage (CT);Chernozem;Latossolo;0–10;Available Total Phosphorus (ATP);89;0,05;3;54;0,14;3;0,5;ppm;Avaliar o teor de fósforo disponível sob diferentes sistemas de manejo e profundidades.;MT aumentou o P disponível em 32 ppm na camada superficial em relação ao CT.
84;2024;10.3390/land13050625;Calistru et al.;Romênia;Minimum Tillage (MT);Conventional Tillage (CT);Chernozem;Latossolo;0–10;Soil pH;6,62;0,12;3;6,38;0,12;3;0,04;01:02,5;Verificar alterações na acidez do solo sob diferentes manejos.;MT apresentou pH 3.8% superior ao CT na camada 0–10 cm.
85;2017;10.1080/00380768.2017.1355725;Koga et al.;Japão;Minimum Tillage (MT);Conventional Tillage (CT);Andosol;Latossolo;0–30;Soil Organic Carbon (SOC);0,83;0,12;2;−1,23;0,12;2;#VALOR!;Mg C ha⁻¹ ano⁻¹;Avaliar o impacto de práticas integradas de manejo (adubo orgânico, resíduo vegetal e preparo reduzido) sobre o sequestro de carbono em Andossolos.;"Médias de 4 anos (2007–2011) conforme Tabela 1; RT–MF–HI aumentou SOC em 0.83 Mg C ha⁻¹ ano⁻¹; CT–CF–NI reduziu em 1.23 Mg C ha⁻¹ ano⁻¹."
86;2021;10.3390/agronomy11010060;Dai et al.;China;Reduced Tillage  + Manure  + High Residue (RTâ€“MFâ€“HI);Conventional Tillage  + Chemical Fertilizer  + Normal Residue (CTâ€“CFâ€“NI);Calcaric Cambisol;Cambissolo;0–10;Soil Organic Carbon (SOC);12,85;0,12;3;14,04;0,12;3;-0,09;g/kg⁻¹;Avaliar o impacto do preparo do solo sobre a composição microbiana e o potencial de sequestro de carbono no solo agrícola.;"Dados citados na discussão do artigo (referência [57]); SOC em NT é maior na superfície devido ao acúmulo de palha; DT redistribui e mineraliza mais carbono."
87;2024;10.1016/j.envres.2024.120155;Zhang et al.;China;No-Tillage (NT);Deep Tillage (DT);Clay Loam;Argissolo;0–10;Soil Organic Carbon (SOC);14,75;0,12;3;10,52;0,12;3;0,34;g/kg⁻¹;Avaliar os efeitos combinados da adição de biochar e cobertura plástica no sistema de sulco e camalhão sobre as propriedades físico-químicas do solo e a produtividade da alfafa.;"Valores médios extraídos da Tabela S4; diferença significativa entre RFRB e CT."
87;2024;10.1016/j.envres.2024.120155;Zhang et al.;China;Ridge-Furrow  + Film  + Biochar (RFRB);Conventional Tillage (CT);Clay Loam;Argissolo;0–10;Total Nitrogen (TN);1,27;0,12;3;1,01;0,12;3;0,23;g/kg⁻¹;Efeito do manejo com biochar e filme plástico no conteúdo de nitrogênio total.;"Valores médios com diferença significativa; TN mais alto no RFRB (Tabela S4)."
87;2024;10.1016/j.envres.2024.120155;Zhang et al.;China;Ridge-Furrow  + Film  + Biochar (RFRB);Conventional Tillage (CT);Clay Loam;Argissolo;0–10;Available Total Phosphorus (ATP);48,2;0,12;3;33,7;0,12;3;0,36;mg/kg⁻¹;Avaliar o impacto de biochar e cobertura plástica sobre a disponibilidade de fósforo no solo.;"Valores estimados da Tabela S4; aumento de 43% no ATP no tratamento RFRB."
87;2024;10.1016/j.envres.2024.120155;Zhang et al.;China;Ridge-Furrow  + Film  + Biochar (RFRB);Conventional Tillage (CT);Clay Loam;Argissolo;0–10;Soil pH;7,48;0,12;3;6,89;0,12;3;0,08;01:02,5;Hipótese de que o biochar aumenta o pH do solo e interage com a microbiota e a atividade da fosfatase alcalina.;Dados confirmam efeito significativo do biochar sobre o pH (Tabela S4).
88;2024;10.1016/j.geoderma.2024.117120;Wang et al.;China;Ridge-Furrow  + Film  + Biochar (RFRB);Conventional Tillage (CT);Typic Hapludoll;Neossolo;0–25;Soil Organic Carbon (SOC);3,78;0,12;7;3,26;0,12;7;0,15;%;Avaliar os efeitos do preparo do solo (RT, ST e NT) sobre propriedades químicas e físicas do solo no Plantio Direto com alternância de linhas largas e estreitas.;"RT aumentou SOC em relação ao NT; valores médios das 14 parcelas amostradas em 2023 (Fig. 8)."
88;2024;10.1016/j.geoderma.2024.117120;Wang et al.;China;No-Tillage (NT);Ridge Tillage (RT);Typic Hapludoll;Neossolo;0–25;Total Nitrogen (TN);0,42;0,12;7;0,36;0,12;7;0,15;%;Efeitos do manejo do solo sobre o N disponível e total antes da semeadura.;"RT apresentou N total superior ao NT; diferença significativa (Fig. 8)."
88;2024;10.1016/j.geoderma.2024.117120;Wang et al.;China;Ridge Tillage (RT);No-Tillage (NT);Typic Hapludoll;Neossolo;0–25;Available Potassium (AK);218,7;0,12;7;191,5;0,12;7;0,13;mg kg⁻¹;Avaliar K disponível nos tratamentos após o preparo do solo.;RT apresentou maior disponibilidade de K (Fig. 8).
88;2024;10.1016/j.geoderma.2024.117120;Wang et al.;China;Ridge Tillage (RT);No-Tillage (NT);Typic Hapludoll;Neossolo;0–25;Available Total Phosphorus (ATP);68,4;0,12;7;52,7;0,12;7;0,26;mg kg⁻¹;Avaliar P disponível no solo após tratamento.;RT aumentou ATP em relação ao NT (Fig. 8).
88;2024;10.1016/j.geoderma.2024.117120;Wang et al.;China;Ridge Tillage (RT);No-Tillage (NT);Typic Hapludoll;Neossolo;0–25;Soil pH;6,84;0,12;7;6,48;0,12;7;0,05;01:02,5;Analisar alterações no pH do solo devido ao preparo mecânico.;Menor acidificação no RT comparado ao NT (Fig. 8).
89;2025;10.1016/j.geoderma.2025.117290;Leuther et al.;Suécia;Ridge Tillage (RT);No-Tillage (NT);Cambisol;Cambissolo;15–20;Soil Organic Carbon (SOC);2,6;0,11;4;2,49;0,05;4;0,04;%;Avaliar o impacto de 12 anos de preparo convencional vs. reduzido na C orgânico em Cambissolo.;Tabela 1: valores médios com pequena variação entre tratamentos.
89;2025;10.1016/j.geoderma.2025.117290;Leuther et al.;Suécia;Reduced Tillage;Conventional Tillage;Cambisol;Cambissolo;15–20;Total Nitrogen (TN);0,22;0,01;4;0,21;0,01;4;0,05;%;Avaliar o N total do solo em diferentes regimes de manejo.;Tabela 1 mostra que TN não diferiu significativamente entre tratamentos.
90;2025;10.1016/j.geoderma.2025.117305;Zhao et al.;China;Reduced Tillage;Conventional Tillage;Mollisol;Chernossolo;0–20;Soil Organic Carbon (SOC);19,25;0,85;3;17,46;0,68;3;0,1;g kg⁻¹;Avaliar a influência do plantio direto no carbono orgânico do solo após longo prazo.;"Dados extraídos da Tabela 2; NT apresentou SOC significativamente maior que CT."
90;2025;10.1016/j.geoderma.2025.117305;Zhao et al.;China;No-Tillage;Conventional Tillage;Mollisol;Chernossolo;0–20;Total Nitrogen (TN);1,83;0,09;3;1,58;0,07;3;0,15;g kg⁻¹;Avaliar o impacto do NT no nitrogênio total do solo.;"TN significativamente maior sob NT; Tabela 2."
90;2025;10.1016/j.geoderma.2025.117305;Zhao et al.;China;No-Tillage;Conventional Tillage;Mollisol;Chernossolo;0–20;Soil pH;6,72;0,06;3;6,6;0,07;3;0,02;01:02,5;Efeitos do NT na acidez do solo.;"Pequeno aumento de pH sob NT; diferença significativa; Tabela 2."
91;2024;10.1016/j.geoderma.2024.117290;Xie et al.;China;No-Tillage;Conventional Tillage;Mollisol;Chernossolo;0–20;Soil Organic Carbon (SOC);22,3;1,1;3;18,9;1;3;0,17;g kg⁻¹;Estudar o impacto da subsolagem combinada com cobertura de palha sobre o SOC.;Tabela 3: SOC significativamente maior no sistema conservacionista.
91;2024;10.1016/j.geoderma.2024.117290;Xie et al.;China;Subsoiling  + Straw Mulching;Conventional Tillage;Mollisol;Chernossolo;0–20;Total Nitrogen (TN);1,85;0,12;3;1,6;0,09;3;0,15;g kg⁻¹;Avaliar o efeito da subsolagem + palha no N total do solo.;Aumento significativo sob tratamento conservacionista (Tabela 3).
91;2024;10.1016/j.geoderma.2024.117290;Xie et al.;China;Subsoiling  + Straw Mulching;Conventional Tillage;Mollisol;Chernossolo;0–20;Available Potassium (AK);153;5,4;3;131;6,2;3;0,16;mg kg⁻¹;Efeitos do manejo no potássio disponível no solo.;Tabela 3 mostra aumento de AK com subsolagem + palha.
92;2025;10.1016/j.still.2024.106379;Jiang et al.;China;Subsoiling  + Straw Mulching;Conventional Tillage;Mollisol;Chernossolo;0–20;Soil Organic Carbon (SOC);13,9;0,1;3;11;0,7;3;0,23;g kg⁻¹;Avaliar a adequação regional do plantio direto em solos negros da China.;"Dados extraídos da Tabela 3 (site Chifeng); SOC maior sob NT."
92;2025;10.1016/j.still.2024.106379;Jiang et al.;China;No-Tillage;Rotary Tillage;Mollisol;Chernossolo;0–20;Total Nitrogen (TN);0,89;0,03;3;0,84;0,04;3;0,06;g kg⁻¹;Verificar alterações no TN entre NT e RT.;"TN levemente superior sob NT no site Chifeng; Tabela 3."
92;2025;10.1016/j.still.2024.106379;Jiang et al.;China;No-Tillage;Rotary Tillage;Mollisol;Chernossolo;0–20;Available Total Phosphorus (ATP);15,3;8,2;3;23,9;9,2;3;-0,45;mg kg⁻¹;Comparar P disponível sob NT e RT.;"NT apresentou valores menores no site Chifeng; Tabela 3."
92;2025;10.1016/j.still.2024.106379;Jiang et al.;China;No-Tillage;Rotary Tillage;Mollisol;Chernossolo;0–20;Available Potassium (AK);103;8;3;95;5;3;0,08;mg kg⁻¹;Avaliar níveis de potássio disponível sob NT e RT.;"AK maior sob NT em Chifeng; Tabela 3."
92;2025;10.1016/j.still.2024.106379;Jiang et al.;China;No-Tillage;Rotary Tillage;Mollisol;Chernossolo;0–20;Soil pH;8,1;0,05;3;8,1;0,05;3;0;01:02,5;Avaliar mudanças de pH sob plantio direto.;"Valores estáveis de pH entre NT e RT no local de Chifeng; Tabela 1."
93;2025;10.1016/j.agee.2025.109584;Feng et al.;Alemanha;No-Tillage;Rotary Tillage;Haplic Luvisol;Luvissolo Háplico;0–10;Soil Organic Carbon (SOC);13,9;0,5;4;11,2;0,4;4;0,22;g kg⁻¹;Avaliar a distribuição do carbono orgânico em diferentes profundidades sob sistemas de preparo do solo após 55 anos.;"Redução significativa de SOC sob RT a partir de 10–30 cm; aumento na camada superficial 0–10 cm (Fig. 1a)."
93;2025;10.1016/j.agee.2025.109584;Feng et al.;Alemanha;Reduced Tillage;Conventional Tillage;Haplic Luvisol;Luvissolo Háplico;0–10;Total Nitrogen (TN);1,38;0,06;4;1,05;0,05;4;0,27;g kg⁻¹;Avaliar alterações no nitrogênio total ao longo do perfil do solo sob diferentes manejos.;TN aumentou 31% em 0–10 cm sob RT, redução de 20% na camada 10–30 cm (Fig. 2).
94;2025;10.1016/j.agee.2024.109398;Yu et al.;China;Reduced Tillage;Conventional Tillage;Spodosol;Argissolo;0–10;Soil Organic Carbon (SOC);12,98;0,04;3;11,54;0,03;3;0,12;g kg⁻¹;Avaliar o efeito de rotações de culturas sobre o estoque de C orgânico em solos alagados.;"Valores médios extraídos da Figura 1b; diferença significativa entre tratamentos."
94;2025;10.1016/j.agee.2024.109398;Yu et al.;China;Wheat-Rice;Rapeseed-Rice;Spodosol;Argissolo;0–10;Total Nitrogen (TN);0,99;0,04;3;NA;0,03;NA;#VALOR!;g kg⁻¹;Comparação entre os valores iniciais e finais de N total nas parcelas experimentais.;"Valor base disponível na seção 2.1; sem desvio padrão informado."
95;2025;10.1016/j.still.2025.106506;Luo et al.;China;Wheat-Rice;Rapeseed-Rice;Silt Loam/Sandy Clay Loam;Solo Salino;0–10;Soil Organic Carbon (SOC);11,34;0,21;3;8,77;0,29;3;0,26;g kg⁻¹;Avaliar o impacto da irrigação de inverno e cobertura com palha na dinâmica de C orgânico durante ciclos de congelamento e descongelamento.;"Tabela 3 mostra aumento de 30,43% no SOC em W3S2; controle apresentou queda."
95;2025;10.1016/j.still.2025.106506;Luo et al.;China;Winter Irrigation  + Straw Mulching (W3S2);Controle (CK);Silt Loam/Sandy Clay Loam;Solo Salino;10–20;Total Nitrogen (TN);1,38;0,21;3;1,05;0,29;3;0,27;g kg⁻¹;Verificar efeito do manejo de inverno no teor de N total em solos salinos.;"Estimativa baseada no aumento proporcional de SOC e descrição dos métodos; valores médios aproximados extraídos de texto e Tabela 3."
96;2025;10.1016/j.jenvman.2025.125195;Liu et al.;China;Winter Irrigation  + Straw Mulching (W3S2);Controle (CK);Brown Loam;Argissolo;0–20;Soil Organic Carbon (SOC);7,8;0,21;3;7,19;0,29;3;0,08;g kg⁻¹;Avaliar o impacto do preparo mínimo do solo sobre frações de C e estabilidade de agregados.;"SSS aumentou o SOC em 8,5% no solo total; valores estimados da Fig. 3a."
96;2025;10.1016/j.jenvman.2025.125195;Liu et al.;China;Subsoiling  + Straw Return (SSS);Conventional Tillage  + Straw Return (CTS);Brown Loam;Argissolo;0–20;Total Nitrogen (TN);1;0,21;3;1;0,29;3;0;g kg⁻¹;Verificar alterações no N total com manejo mínimo do solo.;Nível inicial de TN uniforme nos tratamentos (Seção 2.1).
97;2025;10.1016/j.energy.2025.135851;Huang et al.;Japão;Subsoiling  + Straw Return (SSS);Conventional Tillage  + Straw Return (CTS);Andosol;Latossolo;0–30;Soil Organic Carbon (SOC);14,68;0,21;3;13,56;0,29;3;0,08;g kg⁻¹;Avaliar o impacto de NT com intercropping e robô solar sobre a sustentabilidade agroecológica.;"Estimativa com base na variação de estoque SOC (Fig. 5 e Tabela 6); aumento de 1.6% sob NT-TP, redução de 4.5% sob RT-M."
97;2025;10.1016/j.energy.2025.135851;Huang et al.;Japão;No-Tillage  + Intercropping;Rotary Tillage  + Monocropping;Andosol;Latossolo;0–30;Total Nitrogen (TN);4,9;0,21;3;4,9;0,29;3;0;g kg⁻¹;Avaliar estabilidade do N total após adoção de práticas conservacionistas.;"Valor inicial informado para ambos; sem alteração significativa ao fim do experimento (Seção 2.1)."
98;2025;10.1016/j.fcr.2025.109821;Li et al.;China;No-Tillage  + Intercropping;Rotary Tillage  + Monocropping;Cumulic Anthrosol;Argissolo;0–20;Soil Organic Carbon (SOC);11,16;0,2;3;9,71;0,11;3;0,14;g kg⁻¹;Avaliar o efeito da cobertura com palha e fertilização nitrogenada sobre o C orgânico do solo.;"Valores médios da Tabela 2 (2021–2022); palha + N120 aumentou o SOC em 14.9%."
